ano,rede_codigo,rede,taxa_alfabetizacao,meta_ano,gap_meta_ano_pp,meta_alfabetizacao_2030,gap_meta_2030_pp,status_meta,percentual_participacao,taxa_ano_anterior,variacao_anual_pp
2023,5,Pública,55.9,,,80.0,-24.1,SEM_META,86.0,,
2024,5,Pública,59.2,59.9,-0.6999999999999957,80.0,-20.799999999999997,ABAIXO,87.37,55.9,3.3000000000000043
